#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
34,"Smack That","Akon, Eminem",4,119,"rap, hip hop","Hip Hop","Konvicted",2006-00-00,03:32,94,74,32,0,93,0,0,-5,F minor,4,2022-02-14,3qKGvSu1inEZKwYQnMavNA,"Konvict/Upfront/SRC/Universal Records",4A,USUM70609036
35,"Leave Me Alone (I'm Lonely)","P!nk",53,150,"","","I'm Not Dead",2006-04-04,03:18,48,87,0,0,47,0,0,-4,G,4,2022-02-14,6wKHY3Sh6GcY62CSy3uZbM,"LaFace/Legacy",9B,USLF20600028
36,"Light Surrounding You","Evermore",50,164,"","","Real Life",2006-07-08,03:50,41,62,21,0,17,0,10,-7,D#/E♭,4,2022-02-14,7kErDYaF5oZGWjvORAE0ta,"Evermore Music",5B,AUWA00602370
37,"Keep Your Hands Off My Girl","Good Charlotte",46,138,"pop punk, punk, emo","Rock, Pop","Good Morning Revival",2008-05-20,03:25,59,95,2,0,60,10,50,-3,C♯/D♭,4,2022-02-14,20rmO0S6KGswD0p5tp2mNX,"Epic/Daylight",3B,USSM10605926
38,"Fergalicious","Fergie, will.i.am",59,129,"","","The Dutchess",2006-09-13,04:52,91,58,6,0,83,30,10,-8,G#/A♭ minor,4,2022-02-14,5Nu1cp2yi4TlZF4KTmElFD,"Will I Am / Fergie LP1",1A,USUM70609117
39,"What I've Done","Linkin Park",85,120,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop","Minutes to Midnight",2007-05-14,03:25,63,94,1,0,29,0,10,-5,F,4,2022-02-14,18lR4BzEs7e3qzc0KVkTpU,"Warner Records",7B,USWB10700721
40,"Never Again","Kelly Clarkson",45,146,"christmas","Pop","My December",2007-00-00,03:37,51,91,0,0,47,0,20,-3,G minor,4,2022-02-14,24y3tSyLdRbpVsKhQrR2oj,"19 Recordings",6A,GBCTA0700059
41,"Dear Mr. President (feat. Indigo Girls)","P!nk, Indigo Girls",53,132,"","","I'm Not Dead",2006-04-04,04:33,59,40,72,0,33,0,10,-7,A#/B♭,4,2022-02-14,6ndF1XQNseMhJGp7wAAILs,"LaFace/Legacy",6B,USLF20600024
42,"Irreplaceable","Beyoncé",71,176,"","","B'Day Deluxe Edition",2007-05-29,03:47,45,69,3,0,51,30,10,-5,G minor,4,2022-02-14,6RX5iL93VZ5fKmyvNXvF1r,"Columbia",6A,USSM10603620
43,"I Wanna Love You","Akon, Snoop Dogg",1,100,"g-funk, west coast hip hop, gangster rap, hip hop, old school hip hop, rap","Hip Hop, R&B","Konvicted",2006-00-00,04:07,87,45,4,0,35,0,30,-9,C,4,2022-02-14,6NncjnSD7JLEetWb9KqMRY,"Konvict/Upfront/SRC/Universal Records",8B,USUM70615284
