#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
82,"Like It's Her Birthday","Good Charlotte",49,110,"pop punk, punk, emo","Rock, Pop","Cardiology",2010-01-01,03:30,59,87,1,0,82,0,10,-3,B,4,2022-02-14,0AYw1CBLLNu0umIuCoq77M,"Capitol Records",1B,USCA21001876
83,"STARSTRUKK (feat. Katy Perry)","3OH!3, Katy Perry, Matt Squire",64,140,"pop","Pop","WANT (Deluxe)",2009-01-16,03:22,61,81,0,0,23,0,20,-6,B minor,4,2022-02-14,1hBM2D1ULT3aeKuddSwPsK,"Rhino Atlantic",10A,USAT20902549
84,"Sexy Bitch (feat. Akon)","David Guetta, Akon",63,130,"edm","Electronic","One More Love",2010-11-22,03:15,81,63,8,0,80,0,10,-5,B minor,4,2022-02-14,127uq83uGFapbddqiMUKky,"Parlophone (France)",10A,FRZID0900500
85,"Closer To The Edge","Thirty Seconds To Mars",2,140,"","","This Is War",2009-01-01,04:33,50,95,1,0,10,10,0,-4,F#/G♭,4,2022-02-14,0UZwcRQAk4QR09HtGRZhYC,"Virgin Records",2B,USVI20900433
86,"Mine","Taylor Swift",57,121,"","","Speak Now (Deluxe Package)",2010-01-01,03:50,62,78,0,0,67,0,10,-3,G,4,2022-02-14,67Io3gxHwfbUreBf114c0u,"Taylor Swift",9B,USCJY1003645
87,"Rock It","Little Red",49,107,"","","Midnight Remember",2010-09-10,03:30,72,53,6,0,93,0,0,-4,F,4,2022-02-14,3gkUWlXM4gDUZbKn5WO3N9,"Liberation Records",7B,AULI01073090
88,"Stay the Night","James Blunt",60,96,"","","Some Kind of Trouble (Deluxe Edition)",2010-11-08,03:36,53,89,2,0,80,0,0,-6,B minor,4,2022-02-14,7FFl1IHSsPWsfUCladsCl9,"Custard/Atlantic",10A,USAT21002186
89,"Undisclosed Desires","Muse",70,116,"alternative rock, rock","Rock","The Resistance",2009-09-10,03:55,68,59,1,2,64,0,0,-7,G#/A♭,4,2022-02-14,0It6VJoMAare1zdV2wxqZq,"Warner Records",4B,GBAHT0900322
90,"Art of Love (feat. Jordin Sparks)","Guy Sebastian, Jordin Sparks",47,138,"","","Like It Like That",2009-10-23,03:58,54,72,2,0,53,0,10,-4,E,4,2022-02-14,2BO8KWwoED1420THvmk3ZH,"Sony Music Entertainment",12B,AUBM00900390
91,"Who's That Chick? (feat. Rihanna)","David Guetta, Rihanna",59,128,"edm","Electronic","One More Love",2010-11-22,03:21,68,60,0,0,93,10,0,-5,B minor,4,2022-02-14,6qUSs4FDzZUdAhY6JDIJfa,"Parlophone (France)",10A,FRZID1000700
92,"Lying","Amy Meredith",33,147,"","","Restless",2010-07-05,03:00,48,95,0,0,63,0,20,-2,D minor,4,2022-02-14,4DyCYmoryvOdLiuO7TYFtm,"Sony Music Entertainment",7A,AUBM00900284
93,"F**kin' Perfect","P!nk",62,92,"","","Greatest Hits...So Far!!!",2010-11-12,03:33,56,65,4,0,48,0,30,-5,G,4,2022-02-14,3MGJF1CDFGfjXESL2Heva0,"LaFace Records",9B,USLF21000091
94,"One Time","Justin Bieber",75,146,"","","My World",2009-01-01,03:35,69,85,6,0,76,0,0,-3,C♯/D♭ minor,4,2022-02-14,6eDApnV9Jdb1nYahOlbbUh,"RBMG/Def Jam",12A,USUM70964274
95,"Party In The U.S.A.","Miley Cyrus",81,96,"","","The Time Of Our Lives (International Version)",2009-01-01,03:22,65,70,0,0,47,0,0,-5,A#/B♭ minor,4,2022-02-14,3E7dfMvvCLUddWissuqMwr,"Hollywood Records",3A,USHR10924519
96,"Hotel Room Service","Pitbull",60,126,"","","Hotel Room Service",2009-06-11,03:58,85,60,0,0,76,20,0,-8,F#/G♭,4,2022-02-14,32yIEFS62uS5ryhr2Xlooj,"Mr.305/Polo Grounds Music/J Records",2B,USJAY0900063
97,"Take Your Shirt Off","T-Pain",49,190,"","","Take Your Shirt Off",2010-02-12,03:48,77,86,1,0,43,20,20,-2,D,4,2022-02-14,1YlI31CCRSK4usdgh7yk7a,"Jive",10B,USJI10900621
98,"Meet Me Halfway","Black Eyed Peas",80,130,"","","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,04:44,80,63,0,0,40,0,30,-7,B minor,4,2022-02-14,3F9ByoUqu31xU0I3G5xfVg,"Interscope",10A,USUM70967700
99,"Shut It Down (feat. Akon)","Pitbull, Akon",41,128,"","","Pitbull Starring In Rebelution",2009-10-23,03:46,75,70,1,0,37,0,0,-7,A minor,4,2022-02-14,14UjqB0xdlZranNXnB4oKW,"Mr.305/Polo Grounds Music/J Records",8A,USJAY0900143
100,"This Ain't a Love Song","Scouting For Girls",38,177,"","","Ten Add Ten: The Very Best of Scouting For Girls",2017-10-13,03:30,46,91,0,0,55,0,30,-4,C,4,2022-02-14,2tNE4DP5nL85XUJv1glO0a,"Sony Music CG",8B,GBARL0901410
