#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
66,"Smack That","Akon, Eminem",84,119,"rap, hip hop","Hip Hop","Konvicted",2006-01-01,03:32,94,74,32,0,93,0,10,-5,F minor,4,2019-07-29,2kQuhkFX7uSVepCD3h29g5,"Konvict/Upfront/SRC/Universal Records",4A,USUM70609036
67,"One Wish","Ray J",67,127,"","","Raydiation",2005-09-05,05:37,53,65,28,0,59,20,30,-7,F minor,4,2024-08-22,2TFsx3B0hLSSTambrudXs3,"Knockout Entertainment",4A,USUYG1160553
68,"Sugar, We're Goin Down","Fall Out Boy",78,162,"emo, pop punk","Rock, Pop","From Under The Cork Tree",2005-05-03,03:49,49,84,1,0,57,0,10,-5,G,4,2019-07-29,2TfSHkHiFO4gRztVIkggkE,"Island Records",9B,USIR20500201
69,"Gimme That Remix (feat. Lil' Wayne)","Chris Brown, Lil Wayne",63,116,"r&b, rap, hip hop","Hip Hop, R&B","Chris Brown (Expanded Edition)",2005-00-00,03:57,51,61,5,0,46,10,10,-6,F#/G♭,5,2019-07-29,2bIrFpyw3AA2t7gNIkfmGb,"Jive",2B,USJI10600086
70,"I Know You See It (feat. Brandy  Ms. B  Hambrick)","Yung Joc, Brandy  Ms. B  Hambrick",58,84,"crunk, southern hip hop","Hip Hop","New Joc City",2006-06-06,04:01,74,37,7,0,39,0,10,-6,C♯/D♭,4,2019-07-29,6giYNaycmjkbf7UmZ6RGtL,"Bad Boy Records",3B,USBB40610117
71,"Who Says You Can't Go Home","Bon Jovi, Jennifer Nettles",55,132,"glam metal, rock","Metal, Rock","Have A Nice Day",2005-01-01,03:50,54,89,4,0,80,0,20,-4,G,4,2019-07-29,5439qJTu5mVH9aeriwp03u,"Island Records",9B,USUM70502482
72,"Too Little Too Late","JoJo",2,82,"","","The High Road",2006-10-17,03:41,42,80,1,0,73,0,0,-5,F#/G♭ minor,4,2021-09-24,4T4NLIMypdmyUwK54jECk4,"Blackground Records, LLC",11A,USUYG1352918
73,"Touch It","Busta Rhymes",60,138,"east coast hip hop","Hip Hop","The Big Bang",2006-01-01,03:34,66,55,0,0,44,30,20,-7,C♯/D♭,5,2019-07-29,3HVJbdz0V402U5YggQK4Ao,"Aftermath",3B,USUM70505393
74,"Rompe","Daddy Yankee",77,176,"reggaeton, latin","Latin","Barrio Fino En Directo",2005-01-01,03:08,70,86,7,0,53,0,0,-5,A,4,2019-07-29,4Xtlw8oXkIOvzV7crUBKeZ,"Interscope/El Cartel",11B,USUM70505755
75,"Deja Vu (feat. JAY-Z)","Beyoncé, JAY-Z",63,105,"hip hop, east coast hip hop, rap","Hip Hop","B'Day Deluxe Edition",2007-05-29,04:00,64,75,1,0,36,30,0,-5,G,4,2024-08-22,423EcxblW9F4nnQkqcqMlK,"Columbia",9B,USSM10602510
76,"Life is a Highway","Rascal Flatts",73,103,"country","Country","Me And My Gang",2006-11-13,04:36,58,95,0,0,66,0,20,-4,F,4,2019-07-29,2Fs18NaCDuluPG1DHGw1XG,"Lyric Street",7B,USL2S0620350
77,"Call Me When You're Sober","Evanescence",72,93,"alternative metal","Metal, Rock","The Open Door",2006-01-01,03:34,45,88,0,0,33,0,20,-4,G,4,2019-07-29,663Karu2rvKLdnY0eo1n3M,"The Bicycle Music Company",9B,USWU30600102
78,"Jesus, Take the Wheel","Carrie Underwood",62,77,"country","Country","Some Hearts",2005-11-14,03:46,36,52,67,0,14,0,10,-4,D,4,2019-07-29,3lec3CzDPAxsZokPph5w87,"Arista",10B,GBCTA0500152
79,"Show Stopper","Danity Kane",56,76,"","","Danity Kane",2006-08-22,03:49,76,41,1,0,47,10,30,-10,F minor,4,2019-07-29,5FRIqUXfTazrtRmYEGO4G0,"Bad Boy Records",4A,USBB40610275
80,"Get Up (feat. Chamillionaire)","Ciara, Chamillionaire",54,129,"southern hip hop","Hip Hop","The Evolution",2006-00-00,04:21,96,60,2,0,63,10,0,-7,C♯/D♭ minor,4,2024-08-22,5KeeXPfhfHHFezD3jBxaHb,"LaFace Records",12A,USLF20600131
81,"We Be Burnin'","Sean Paul",68,117,"dancehall","Reggae","The Trinity",2005-09-27,03:35,95,80,14,0,86,10,0,-4,C♯/D♭,4,2019-07-29,4kOTDj4SiZPkW1p96WMDNv,"VP Records",3B,USAT20502060
82,"Hate Me","Blue October",61,93,"","","Foiled",2006-01-01,06:20,45,69,48,0,20,0,10,-6,E minor,4,2019-07-29,1tL40tfdtUaSLek4DvDDr3,"Motown",9A,USUM70600411
83,"You And Me","Lifehouse",76,140,"post-grunge","Rock","Lifehouse",2005-03-22,03:15,46,43,11,0,35,0,10,-8,G,3,2019-07-29,0815caqt2Lytro5EIzMufT,"Geffen",9B,USDW10500001
84,"Beep","The Pussycat Dolls, will.i.am",51,104,"","","PCD",2005-01-01,03:49,94,75,1,0,52,0,10,-6,G,4,2019-07-29,5TXNLJ2EENAt3Tf9MX4kT2,"Pussycat Dolls",9B,USUM70501898
85,"I Think They Like Me - Remix","Dem Franchize Boyz, Jermaine Dupri, Da Brat, Bow Wow, The Kid Slim",48,83,"crunk, southern hip hop, g-funk, r&b","Hip Hop, R&B","On Top Of Our Game",2006-02-07,04:42,78,63,0,0,68,30,10,-9,G,4,2019-07-29,5a4AQWs84xeEyYUd1iC2Pn,"Virgin Records",9B,USVI20500231
86,"Say Goodbye","Chris Brown",72,115,"r&b","R&B","Chris Brown (Expanded Edition)",2005-00-00,04:49,80,50,0,0,39,0,0,-6,C♯/D♭,4,2019-07-29,5F7IJrXD6Fa3EmqoYE0gU4,"Jive",3B,USJI10500728
87,"Waiting On the World to Change","John Mayer",74,177,"singer-songwriter","Folk","Continuum",2006-09-11,03:21,58,76,16,0,66,10,20,-6,D,4,2019-07-29,5imShWWzwqfAJ9gXFpGAQh,"Aware/Columbia",10B,USSM10602589
88,"Soul Survivor","Jeezy, Akon",69,84,"southern hip hop, crunk, rap, gangster rap","Hip Hop","Let's Get It: Thug Motivation 101",2005-00-00,04:40,66,48,0,0,11,0,10,-8,A#/B♭,4,2019-07-29,0Ss50OU9tCozI7JIywkv14,"Def Jam Recordings",6B,USUM70501374
89,"Pump It","Black Eyed Peas",11,154,"","","Monkey Business",2005-01-01,03:33,65,93,1,0,74,10,70,-3,C♯/D♭ minor,4,2019-07-29,6btyEL6NwUa97Nex9cZFvo,"A&M",12A,USIR10500407
90,"When I'm Gone","Eminem",55,150,"rap, hip hop","Hip Hop","Curtain Call: The Hits (Deluxe Edition)",2005-12-06,04:41,62,75,5,0,76,30,30,-5,A#/B♭ minor,4,2024-08-22,42YNobZ4HN3tRVEA47wLT6,"Eminem Catalog PS",3A,USUM70506288
91,"Hung Up","Madonna",78,125,"","","Confessions on a Dance Floor",2005-11-11,05:37,65,65,0,16,41,0,0,-8,A minor,4,2019-07-29,3850dYVgOFIXJh5U4BFEWH,"Warner Records",8A,USWB10504319
92,"Stay Fly","Three 6 Mafia",71,133,"southern hip hop, horrorcore, crunk, gangster rap","Hip Hop, Metal","Most Known Unknown (Explicit)",2005-09-27,03:56,79,88,11,0,65,0,30,-6,B,4,2019-07-29,5MYFw4T2gy52pOGBN4EYHS,"Hypnotize Minds/Sony Urban Music/Columbia",1B,USSM10502938
93,"Love","Keyshia Cole",82,117,"r&b","R&B","The Way It Is",2005-01-01,04:15,69,52,6,0,31,0,10,-4,F,4,2019-07-29,0W4NhJhcqKCqEP2GIpDCDq,"A&M (UC)",7B,USAM10500210
94,"When You're Mad","Ne-Yo",59,87,"","","In My Own Words",2006-01-01,03:42,66,55,36,0,44,20,10,-7,F#/G♭,4,2019-07-29,5FXOEdfNW7nYQrBWtW49Cl,"Def Soul",2B,USUM70600054
95,"Why You Wanna","T.I.",52,96,"southern hip hop","Hip Hop","King",2006-03-26,03:35,80,77,36,0,65,10,0,-5,C♯/D♭ minor,4,2019-07-29,1g0oI97rPdYuWDIpkbtQdv,"Grand Hustle, LLC",12A,USAT20610994
96,"Stupid Girls","P!nk",55,100,"","","I'm Not Dead",2006-04-04,03:17,68,89,0,0,57,0,0,-5,E minor,4,2024-08-22,1Ab6RxeKl3e07zP7Get7CX,"LaFace/Legacy",9A,USLF20600004
97,"Feel Good Inc.","Gorillaz, De La Soul",90,139,"jazz rap, east coast hip hop","Hip Hop, Jazz","Demon Days",2005-05-23,03:42,82,71,1,0,77,10,60,-7,F#/G♭,4,2019-07-29,0d28khcov6AiegSCpG5TuT,"Parlophone UK",2B,GBAYE0500172
98,"I'm Sprung","T-Pain",71,100,"","","Rappa Ternt Sanga (Expanded Edition)",2005-12-06,03:51,73,33,9,0,20,10,10,-12,C minor,4,2024-08-22,0DLOyyQvwPTSDKuhpzMMwA,"Jive/Legacy",5A,USJI10500485
99,"Do I Make You Proud","Taylor Hicks",25,144,"","","Do I Make You Proud/Takin' It To The Streets",2006-06-13,04:08,46,52,3,0,31,0,10,-8,C♯/D♭,4,2019-07-29,2jv9Ppwz9u3lqWfXV0q2sW,"Arista",3B,GBCTA0600096
100,"For You I Will (Confidence)","Teddy Geiger",0,120,"","","Underage Thinking",2006-03-21,03:48,32,75,0,0,27,0,10,-6,C♯/D♭ minor,4,2024-08-22,2ijMU9lYFCvGBzgwJ8Sd8q,"Columbia",12A,USSM10504265
