"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3152467858543","3.65636507938414","2.52912946932762","3.39778677828807","3.60802438784539","5.39256784475513","8.95598705177788","-2.13542872046934","2.07814071860783","4.31629742195208","0.627471992893336","-2.37206524252255","0.421440918881169","0.474763597342611","-0.931195987079601","-1.02828178762003","3.62604141352957","4.25746204335427","","","","","",
"Africa Eastern and Southern","AFE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6574601863917","8.71893103461615","4.50923691774372","8.45987233408586","8.9396468278821","5.74883133553456","5.3702896100859","5.24587835022454","6.59650490696546","6.3993434156938","4.72080474200537","4.64496717329564","5.40516207933395","7.24097765588445","10.7737512242899","7.12697482131851","4.42547050381206",
"Afghanistan","AFG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.78459655001656","8.68057078513405","26.4186641547444","-6.81116108898994","2.17853752389419","11.8041858089129","6.44121280934116","7.38577178397856","4.67399603536345","-0.661709164713771","4.38389195513915","4.97595150553836","0.626149149168802","2.30237251516839","5.60188791482222","5.1332034082496","13.7121023720065","-4.64470870797776","-6.60118564073727",
"Africa Western and Central","AFW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.36913473801957","8.45297623326755","4.41500374795223","2.20783532536524","4.01869907534492","4.57837463515946","2.43920076104126","1.76843582146222","2.13081738058794","1.48741550755545","1.72548602374726","1.78404994832042","1.98309228487231","2.4903778393195","3.74556782333006","7.9309292543009","5.48928568141135","3.6159657021514",
"Angola","AGO","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2241436573304","43.5421067519687","22.953513851394","13.3052101780032","12.2514974459487","12.4758291326398","13.7302839288409","14.4696564932577","13.4824679218511","10.2779049218839","8.77781429332625","7.2803873036112","9.35597215533781","30.6944150806719","29.8444799015679","19.6289379701521","17.080954143438","22.271539247051","25.7542948841891","21.3552901320822","13.6441017767715","28.2404948915773",
"Albania","ALB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.32087090389265","2.2669220945083","3.62604695579816","3.42912324722166","2.03159268395297","1.93762080205226","1.62586504402611","1.89617402592365","1.27543168367414","1.98666133171195","2.02805963071135","1.41109078954247","1.62088661717011","2.04147163139547","6.72520271530052","4.75976421930108","2.21448953273292",
"Andorra","AND","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6386876969545","4.56353694438819","3.27712533943639","2.89947905006051","2.55167715246306","2.67659170098194","2.17183298510004","2.45719835917882","1.09184802655853","1.61222220402458","2.96581008346286","5.0875420085391","3.64216403030709","2.07655387954205",
"United Arab Emirates","ARE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5618131744907","0.877983288285865","0.877346595685107","0.662268900269053","1.10111836375708","2.34626865671642","4.06996608361595","1.61748808904197","1.96682557818841","3.06863379251993","-1.93108114782171","-2.0794031794094","0.17993533617437","5.29122604376852","1.62670837213252","1.66336510224892",
"Argentina","ARG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2772237131003","53.5483043492339","42.0150947376509","48.4093786255199","72.430757531824","133.488935594175","219.883929014578",
"Armenia","ARM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.65000807859295","2.55802007757904","5.78966778544654","2.98130868933676","3.73169119261694","-1.40360755900904","0.969553268816178","2.52023382001632","1.44344660770699","1.2114357783847","7.18483629443367","8.64091108973852","1.98041877615558","0.269511978259078",
"American Samoa","ASM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.40765801293491","1.99353055152454","2.03007757853237","2.09875196709307","1.78778537419121","1.41605259409741","5.33380639820233","-0.550159995508911","3.37002540220151","3.45674967234604","3.37688044338876","1.05949782356172","1.08944157435359","0.968993458825594","-0.489437796230531","2.43248789041367","1.20715793367006","1.43135598182988","0.625989707046714","2.06299638545329","7.53107834634287","5.06713865364216","6.19886698842119",
