artist_norm,track_norm,peak_position,first_week,last_week,weeks_on,genre,track_id,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,inverse_rank,top10,release_q,recession_t,event_time_k
50 cent,window shopper,20,2005-11-12,2006-01-21,11,Rap,6P67bhO3fg7AlNcekn4YxR,58.0,0.107,0.536,190293.0,0.628,0.0,F,0.459,-7.057,Minor,0.186,174.35,4/4,0.467,81,0,2005Q4,0,-8
50 cent featuring akon,still will,95,2007-12-15,2007-12-15,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,6,0,2007Q4,0,0
50 cent featuring justin timberlake timbaland,ayo technology,5,2007-08-25,2008-01-05,20,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,96,1,2007Q3,0,-1
50 cent featuring neyo,baby by me,28,2009-11-14,2010-02-06,13,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,73,0,2009Q4,0,8
50 cent olivia,best friend,35,2006-03-11,2006-06-17,15,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,66,0,2006Q1,0,-7
a r rahman the pussycat dolls featuring nicole scherzinger,jai ho,15,2009-03-07,2009-05-30,13,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,86,0,2009Q1,1,5
ace hood featuring trey songz,ride,90,2008-12-06,2008-12-06,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,11,0,2008Q4,1,4
adam lambert,a change is gonna come,56,2009-06-06,2009-06-06,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,45,0,2009Q2,1,6
adam lambert,for your entertainment,61,2009-11-28,2009-12-12,2,Dance,0BmT0BVnYYggf7V4NCtx2B,53.0,0.0411,0.654,215160.0,0.872,0.0,C#,0.0808,-3.824,Major,0.11,130.023,4/4,0.612,40,0,2009Q4,0,8
adam lambert,mad world,19,2009-06-06,2009-06-20,3,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,82,0,2009Q2,1,6
adam lambert,no boundaries,72,2009-06-06,2009-06-13,2,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,29,0,2009Q2,1,6
adam lambert,one,82,2009-06-06,2009-06-06,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,19,0,2009Q2,1,6
adam lambert,time for miracles,50,2009-11-07,2009-11-07,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,51,0,2009Q4,0,8
adele,chasing pavements,21,2008-11-08,2009-03-07,7,Pop,71WAtDcWVYMoCsblD2uQXx,65.0,0.312,0.621,210507.0,0.473,0.0,F,0.11,-6.07,Minor,0.0251,80.027,4/4,0.325,80,0,2008Q4,1,4
